title,rating,genre,popularity,member,duration,studios,aired
Nonton Karneval (TV) Sub Indo,7.08,"['Action', 'Fantasy', 'Josei', 'Mystery', 'Sci-Fi']",Popularity: #1119,Members: 89996,Duration: 24 min per ep,Studios: Manglobe,"Aired: Apr 4, 2013 to Jun 27, 2013"
Nonton Katanagatari Sub Indo,8.31,"['Action', 'Adventure', 'Historical', 'Martial Arts', 'Romance']",Popularity: #389,Members: 214533,Duration: 50 min per ep,Studios: White Fox,"Aired: Jan 26, 2010 to Dec 11, 2010"
Nonton Katekyo Hitman Reborn! Sub Indo,8.13,"['Action', 'Comedy', 'Organized Crime', 'Shounen', 'Super Power']",Popularity: #391,Members: 260433,Duration: 24 min per ep,Studios: Artland,"Aired: Oct 7, 2006 to Sep 25, 2010"
Nonton Katsugeki Touken Ranbu Sub Indo,6.74,"['Action', 'Fantasy', 'Historical', 'Samurai']",Popularity: #1770,Members: 32545,Duration: 23 min per ep,Studios: ufotable,"Aired: Jul 2, 2017 to Sep 24, 2017"
Nonton Katsute Kami Datta Kemono-tachi e Sub Indo,6.4,"['Action', 'Drama', 'Fantasy', 'Military', 'Shounen']",Popularity: #1663,Members: 54178,Duration: 23 min per ep,Studios: MAPPA,"Aired: Jul 1, 2019 to Sep 16, 2019"
Nonton Kawaii dake ja Nai Shikimori-san Sub Indo,6.93,"['Comedy', 'Romance', 'School']",Popularity: #423,Members: 222175,Duration: 23 min per ep,Studios: Doga Kobo,"Aired: Apr 10, 2022 to Jul 10, 2022"
Nonton Kawaikereba Hentai demo Suki ni Natte Kuremasu ka? Sub Indo,6.48,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'School']",Popularity: #740,Members: 158609,Duration: 23 min per ep,Studios: Geek Toys,"Aired: Jul 8, 2019 to Sep 23, 2019"
Nonton Kawaisugi Crisis Sub Indo,6.82,"['Comedy', 'Pets', 'Sci-Fi', 'Shounen']",Popularity: #3518,Members: 12882,Duration: 23 min per ep,Studios: SynergySP,"Aired: Apr 7, 2023 to Jun 23, 2023"
Nonton Kaze ga Tsuyoku Fuiteiru Sub Indo,8.38,"['Adult Cast', 'Drama', 'Racing', 'Sports']",Popularity: #800,Members: 137252,Duration: 23 min per ep,Studios: Production I.G,"Aired: Oct 3, 2018 to Mar 27, 2019"
Nonton Kaze no Na wa Amnesia Sub Indo,6.33,"['Action', 'Avant Garde', 'Drama', 'Sci-Fi']",Popularity: #4843,Members: 8214,Duration: 1 hr 20 min,Studios: Madhouse,"Aired: Dec 22, 1990"
Nonton Kaze no Stigma Sub Indo,7.16,"['Action', 'Fantasy', 'Romance', 'Super Power']",Popularity: #497,Members: 237797,Duration: 24 min per ep,Studios: Gonzo,"Aired: Apr 13, 2007 to Sep 21, 2007"
Nonton Kaze wo Mita Shounen Sub Indo,6.68,"['Adventure', 'Drama', 'Fantasy']",Popularity: #7828,Members: 2237,Duration: 1 hr 37 min,Studios: Brain's Base,"Aired: Jul 22, 2000"
Nonton Keijo!!!!!!!! Sub Indo,6.92,"['Combat Sports', 'Ecchi', 'Shounen', 'Sports']",Popularity: #568,Members: 195636,Duration: 23 min per ep,Studios: Xebec,"Aired: Oct 6, 2016 to Dec 22, 2016"
"Nonton Keikenzumi na Kimi to, Keiken Zero na Ore ga, Otsukiai suru Hanashi. Sub Indo",6.75,"['Romance', 'School']",Popularity: #1472,Members: 64643,Duration: 23 min per ep,Studios: ENGI,"Aired: Oct 6, 2023 to Dec 22, 2023"
Nonton Kekkai Sensen Sub Indo,7.59,"['Action', 'Fantasy', 'Shounen', 'Super Power', 'Vampire']",Popularity: #197,Members: 388207,Duration: 26 min per ep,Studios: Bones,"Aired: Apr 5, 2015 to Oct 4, 2015"
